order_item_id,order_id,product_id,quantity,unit_price,discount_pct
17510,10019,80,1,1378.46,0
20948,11986,190,1,2603.05,0
12803,7333,419,1,2283.85,0.05
8107,4630,63,1,"R$ 2.070,54",0.1
399,237,218,1,1858.16,
16687,9550,29,3,5246.72,0.1
3464,1981,86,1,"R$ 8.570,63",0
23636,13535,394,2,5702.23,0
9060,5172,192,1,4992.93,0.05
24376,13957,4,1,"R$ 5.693,68",0
15586,8935,600,1,3161.29,0
22736,13028,49,1,"R$ 430,41",0
5705,3263,556,1,8469.86,0
14570,8360,350,1,6649.54,0
6609,3791,464,1,8635.23,0.05
16446,9420,486,2,2911.79,0
18275,10481,147,3,7651.28,0
1063,602,106,0,"R$ 5.287,09",0
25015,14318,462,2,470.69,0
10155,5795,4,1,"R$ 5.262,36",0
9214,5263,490,1,3986.52,0
25998,14884,504,1,5976.91,0.15
1738,988,599,1,8364.23,0
8624,4916,580,0,"R$ 7.526,01",0
11572,6616,495,1,4603.44,0
22528,12914,182,2,"R$ 4.427,38",
89,59,98,1,7744.67,
11154,6373,392,2,"558,32",0.15
4841,2788,268,1,7593.12,0
1482,847,204,-1,4583.55,0
13229,7578,461,1,2934.52,0.1
11822,6776,539,1,"R$ 77,03",0
10109,5770,72,1,"R$ 5.039,74",0.1
12949,7419,109,1,"7444,6",0
3293,1879,465,1,1045.14,0
21965,12584,353,1,"2256,9",0
5851,3352,398,1,5430.78,0
11174,6384,50,3,"R$ 7.694,13",0.1
9064,5175,486,1,2911.79,0.15
7211,4120,69,1,"R$ 8.460,61",0
4623,2667,564,1,"R$ 757,08",0
153,93,7,1,2453.61,0
8276,4726,440,1,"1558,08",0
8376,4775,137,1,4409.93,0
9127,5212,405,2,"R$ 5.966,18",0
10565,6029,505,2,"R$ 3.461,76",0.05
20974,12000,438,3,"R$ 4.193,90",0.15
7916,4523,578,1,"7548,77",0.1
16156,9255,291,1,641.04,0
25267,14454,129,1,472.55,0.1
24350,13942,473,1,7840.12,0
19059,10909,145,1,5640.54,0
11740,6721,603,1,77.0,0
17824,10208,312,0,,0.15
15018,8631,260,-1,8108.86,0.1
18605,10662,405,1,"5966,18",0.1
17964,10287,437,1,8019.05,0
13359,7653,174,1,"R$ 4.658,23",0
6595,3782,199,2,"2879,86",0
15832,9077,297,1,5163.19,0.15
23366,13382,505,1,"3461,76",0
7373,4213,208,3,"8139,25",0
7203,4116,471,1,4779.36,0.15
25754,14746,489,0,"R$ 3.191,19",0
15935,9138,344,1,2342.18,0
16205,9284,392,2,"R$ 558,32",
18878,10810,382,1,"R$ 1.183,36",0.1
13516,7755,317,1,6502.85,0
4479,2588,85,1,"R$ 669,03",0
7755,4429,120,1,"R$ 335,25",0.1
21519,12321,224,1,"R$ 2.484,25",0.15
6795,3889,409,1,5108.98,0
22563,12932,435,1,,0.1
15224,8743,280,1,1976.36,0
17662,10106,211,1,6701.35,0
26095,14945,491,1,"R$ 2.056,75",0.05
2722,1555,309,1,"2013,3",0
17372,9942,536,1,,0.05
14615,8388,40,1,7555.56,0
5729,3277,739,3,,0
18396,10551,333,1,"6269,84",0
21071,12055,272,1,6604.58,
6360,3647,163,1,6410.48,0.05
9542,5448,405,1,"R$ 5.966,18",0.05
16212,9290,600,1,"R$ 3.161,29",0.05
9582,5469,183,2,,0
166,100,234,1,"1944,86",0
902,508,94,1,5995.29,0.05
10472,5978,156,1,6419.2,0
19151,10960,142,1,7395.67,0
7844,4481,166,1,8633.88,0
15307,8788,579,2,2194.39,0
346,206,506,1,"R$ 8.136,83",0
6873,3937,173,1,"4467,93",0
9588,5473,229,-1,7073.38,0
17177,9822,574,1,"8758,7",0
13374,7661,533,1,"R$ 491,12",0.15
16995,9722,540,1,5510.47,0
6457,3706,41,3,"R$ 3.113,59",0
3979,2298,41,1,"R$ 3.113,59",0.1
7762,4434,259,1,"R$ 3.827,35",0
23228,13307,190,1,,0.1
14851,8530,470,1,3599.02,0
23133,13254,562,1,"R$ 3.439,80",0.1
15897,9114,478,1,4145.12,0
11790,6754,451,1,"R$ 448,14",0
12444,7129,134,0,8238.14,0
15398,8838,225,1,"5120,33",0.05
24842,14223,109,2,"R$ 7.444,60",0
16039,9192,378,1,6910.67,0
22219,12733,337,1,7965.84,0.05
23035,13198,412,1,1731.71,0
16338,9366,376,2,"R$ 6.139,83",0
6006,3439,323,1,2045.91,0
669,386,505,1,3461.76,0
2748,1571,555,2,1762.62,0
11139,6362,247,1,3732.61,
8296,4738,446,1,"1534,02",0
12951,7420,20,1,,0
7733,4417,476,1,1773.49,0
8410,4796,355,1,"R$ 2.446,38",0.1
3320,1899,307,1,"R$ 5.274,80",0
16402,9399,191,1,5159.47,0
19494,11150,689,1,6860.86,0
18862,10800,289,0,5843.1,0
21550,12338,109,1,7444.6,0.1
20022,11462,296,1,"R$ 3.033,03",0.05
25567,14638,479,1,"R$ 7.397,47",0
64,43,76,1,,0
4327,2501,477,1,3993.74,0
17129,9797,25,1,6108.31,0
23680,13560,279,1,8295.55,0
3940,2274,79,-1,2632.48,0.1
11014,6290,59,1,2632.76,0
18398,10552,204,3,4583.55,0
24207,13866,137,1,"R$ 4.428,01",0
20608,11796,365,3,"5800,63",0
9682,5527,495,2,5240.79,0.1
13823,7919,197,1,6763.13,0
26004,14888,291,2,641.04,0.05
16540,9469,297,1,"R$ 6.232,61",0
6138,3517,453,1,8732.67,0
9240,5274,83,1,"2160,21",0.05
12926,7405,65,-1,"R$ 2.262,66",0
19983,11440,270,1,86.81,0.1
25447,14562,210,1,"R$ 662,40",0
23675,13557,536,1,3077.97,0
6099,3495,345,2,"R$ 8.883,58",
25351,14508,447,1,"R$ 2.440,42",0.15
6921,3964,28,3,"R$ 5.108,04",0.1
6900,3952,588,1,916.87,0
2627,1495,411,0,5823.55,0.05
14550,8347,178,1,4513.78,0
16333,9364,344,1,2342.18,0
12050,6905,267,1,2578.52,0
24603,14093,288,1,8425.15,0
17831,10212,32,1,"247,12",0
8774,5003,173,1,4467.93,0.05
6908,3957,368,1,"R$ 7.360,46",0
18631,10675,110,0,"R$ 2.644,01",0.1
5881,3367,501,2,606.32,0
115,74,399,2,7131.62,0
13409,7683,48,-1,6596.22,0.05
6793,3888,328,0,"R$ 210,74",
13248,7591,529,1,3940.46,0.05
23116,13241,103,1,6758.09,0
1330,764,210,1,662.4,0
1947,1098,458,1,1199.03,0
17089,9775,193,1,"4555,11",
26136,14967,140,2,"R$ 1.824,04",0
22661,12985,282,-1,5918.02,0
1079,613,455,1,3734.93,0
4465,2580,418,1,7034.42,0
71,47,227,2,3120.88,0
24692,14143,6,3,5225.27,0
10213,5825,397,1,4851.93,0
3299,1883,514,-1,"R$ 6.242,10",0
