order_id,customer_id,order_date,status,payment_method,shipping_city,shipping_state,total_amount
14062,1424,2024-10-23,entregue,boleto,Vargas,GO,3668.29
4000,801,13/06/2025,Entregue,Pix,Aparecida Verde,BA,"R$ 5.966,18"
5000,1591,10/25/2025,shipped,boleto,Correia Grande,SP,"5143,41"
1531,1254,2025-08-06T18:40:21,cancelled,Pix,Andrade do Norte,PE,"17538,0"
6555,1274,09/02/2025,Entregue,boleto,Rezende de Goiás,RS,1463.6
4479,1823,2025-11-24T21:24:07,shipped,Pix,Leão de das Neves,GO,7465.22
7646,2429,2025-06-25,refunded,paypal,Farias,GO,21914.23
6361,2463,2024-10-03,Pendente,cartao_credito,Costela,AM,"R$ 781,18"
1283,2728,2025/04/16,shipped,boleto,da Rocha,RJ,"7130,46"
4755,2626,11/07/2025,Entregue,paypal,Campos do Norte,RJ,5950.33
14796,875,13-01-2026,pago,boleto,da Costa Verde,RS,"R$ 20.432,25"
12878,707,07/19/2024,PENDENTE,cartao credito,Sousa,GO,"R$ 28.781,55"
6525,2189,2025-07-16T20:58:22,pending,Pix,Ramos,GO,6788.3
5040,1252,10/28/2024,entregue ,,Sales,CE,
2102,1668,08/01/2025,entregue ,CARTAO_CREDITO,Costa,DF,"R$ 15.992,12"
9275,739,2025-06-21,PAGO,pix,Farias,AM,22423.08
873,1962,01/01/2025,entregue ,pix,Costela Verde,AM,7400.78
2082,1524,07/07/2025,PENDENTE,cartao_credito,Cirino,DF,"7314,87"
13261,210,2024-09-05T19:40:17,ENVIADO,cartao_credito,da Rocha do Sul,PR,35879.79
13550,2183,2024-07-17T09:02:04,PENDENTE,boleto,Costela,RS,"R$ 13.209,27"
9846,2080,08/26/2025,ENTREGUE,cartao credito,Borges,CE,5683.69
12993,371,2024-11-26T08:54:07,pago,cartao credito,Gonçalves,RS,"R$ 9.191,52"
3436,560,24-07-2025,pendente,Pix,Pacheco do Campo,SC,19594.79
11110,2280,30-12-2024,entregue,,Correia,RJ,7395.67
4376,664,2025-08-22,ENVIADO,CARTAO_CREDITO,Lima,MG,8883.83
2188,557,30/03/2025 10:18,entregue,CARTAO_CREDITO,Pimenta do Amparo,DF,752.54
2529,2669,2024/08/26,delivered,,Correia do Sul,GO,8285.95
8082,457,2025-11-15T22:14:54,Entregue,cartao credito,Guerra das Pedras,MG,24804.09
12836,861,2024-08-05T01:16:58,Entregue,Pix,Alves do Amparo,RJ,6698.9
