review_id,product_id,customer_id,rating,review_text,review_date
2173,97,2142,5,"Poderia ser melhor, mas cumpre o que promete.",25/11/2025
845,487,1942,4,"Ótimo produto, super indico!",0000-00-00
4742,421,444,3,"Excelente custo benefício, recomendo.",2026/07/07
2858,350,1634,4,Entrega demorou mais do que o esperado.,2025-08-22
1762,239,2883,5,Atendeu minhas expectativas.,08/01/2025 15:21
7781,217,498,4,"Ótimo produto, super indico!",0000-00-00
3888,312,1787,5,Não gostei da qualidade do material.,07/18/2025
7896,304,2357,3,"Veio com defeito, tive que trocar.",2025/11/27
4396,193,1658,3,"Excelente custo benefício, recomendo.",0000-00-00
4515,40,1360,5,"Produto muito bom, chegou rápido!",2024-08-30
3377,348,1427,5,,01-12-2024
4834,71,1691,3,,03-04-2026
3136,242,1383,5,"Veio com defeito, tive que trocar.",30/08/2024 17:35
3187,239,220,5,Entrega demorou mais do que o esperado.,2024/08/05
2535,570,1110,5,,10/30/2024
2497,159,2758,5,,2026-06-02T11:13:38
5322,415,2898,5,NÃ£o gostei da qualidade do material.,2025/07/24
5721,58,2696,5,"Excelente custo benefício, recomendo.",09/05/2026
4002,487,2967,5,,03/23/2025
4320,600,933,5,Entrega demorou mais do que o esperado.,2025/08/09
2534,504,901,5,"Excelente custo benefício, recomendo.",22/11/2024 15:34
6689,213,2497,3,,18/09/2025
2520,108,123,5,"Ótimo produto, super indico!",2025-09-05T22:54:46
1769,369,2255,4,,2025-05-09
7291,429,1764,1,,2025-06-22
998,395,2736,4,Atendeu minhas expectativas.,2024/08/14
4206,210,262,5,"Poderia ser melhor, mas cumpre o que promete.",0000-00-00
1835,18,2695,4,Atendeu minhas expectativas.,2025-05-14T17:41:03
1702,119,2295,4,"Veio com defeito, tive que trocar.",07/05/2025
1347,515,2666,5,"Excelente custo benefÃ­cio, recomendo.",05/04/2025
555,451,1462,5,Entrega demorou mais do que o esperado.,11/09/2025
2680,202,2331,4,"Excelente custo benefício, recomendo.",18/12/2025
1892,100,1988,5,"Produto muito bom, chegou rápido!",11/04/2025
4266,398,1022,4,"Ótimo produto, super indico!",2024/10/12
2076,531,2241,,"Ótimo produto, super indico!",2025/12/20
5526,208,54,3,"Produto muito bom, chegou rÃ¡pido!",16-05-2026
655,249,2236,2,,0000-00-00
2752,171,2339,5,,2026-05-18
6321,348,211,5,,26/10/2025 09:39
4395,226,696,5,Não gostei da qualidade do material.,08/06/2024
7550,306,1924,5,"Veio com defeito, tive que trocar.",2026/05/02
6264,573,1129,4,"Excelente custo benefício, recomendo.",31/05/2026
3350,57,1142,4,Entrega demorou mais do que o esperado.,2026/03/27
7047,198,1463,4,"Ótimo produto, super indico!",09/08/2025
6498,459,50,3,,2025/07/01
6496,187,1413,5,"Veio com defeito, tive que trocar.",2026/04/19
3682,96,1401,5,,27/09/2025 13:00
4179,563,548,4,Atendeu minhas expectativas.,0000-00-00
7981,110,2872,4,,2024-10-23T00:57:32
1495,427,898,4,"Ótimo produto, super indico!",29-06-2025
6427,57,2575,5,"Excelente custo benefício, recomendo.",2026/05/04
3451,144,1032,0,"Produto muito bom, chegou rÃ¡pido!",16/07/2025 13:16
1760,243,939,4,"Veio com defeito, tive que trocar.",2025-03-30T15:52:45
4400,79,2776,3,,27/12/2024 15:44
7493,386,1329,0,"Ótimo produto, super indico!",27/02/2025 06:18
2521,381,1419,4,"Ãtimo produto, super indico!",24-03-2025
5150,79,1013,5,"Veio com defeito, tive que trocar.",2026/07/11
3204,294,102,4,"Ãtimo produto, super indico!",2025/06/29
4571,247,2433,5,,21-09-2025
203,110,2492,5,"Ótimo produto, super indico!",2025-10-29T14:46:17
4263,367,1497,4,"Ótimo produto, super indico!",2026/07/05
7563,196,2555,5,"Produto muito bom, chegou rápido!",0000-00-00
6349,586,13,4,Atendeu minhas expectativas.,04/12/2026
7976,553,1915,3,"Ãtimo produto, super indico!",
6397,20,834,6,Não gostei da qualidade do material.,0000-00-00
7923,66,2875,5,,2026/05/26
4947,129,2700,4,"Veio com defeito, tive que trocar.",02/02/2026 19:14
3824,45,952,4,"Veio com defeito, tive que trocar.",2026-06-18
2663,516,31,5,"Poderia ser melhor, mas cumpre o que promete.",27-06-2025
4578,427,4,4,"Excelente custo benefício, recomendo.",2024-12-08T15:21:05
331,596,118,4,Não gostei da qualidade do material.,27/05/2025 02:23
126,269,2071,0,Entrega demorou mais do que o esperado.,2024-11-03T19:05:07
3260,34,2358,4,"Ótimo produto, super indico!",02/07/2026
5485,203,265,5,"Ótimo produto, super indico!",23/11/2024
